GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US040130101011,040130101011,"Block Group 1, Census Tract 101.01, Maricopa County, Arizona",97637400,23702655
1500000US040130101012,040130101012,"Block Group 2, Census Tract 101.01, Maricopa County, Arizona",98033000,27649573
1500000US040130101013,040130101013,"Block Group 3, Census Tract 101.01, Maricopa County, Arizona",94456300,39132455
1500000US040130101021,040130101021,"Block Group 1, Census Tract 101.02, Maricopa County, Arizona",53843900,29192345
1500000US040130101022,040130101022,"Block Group 2, Census Tract 101.02, Maricopa County, Arizona",173039300,55019045
1500000US040130101023,040130101023,"Block Group 3, Census Tract 101.02, Maricopa County, Arizona",174150300,73184141
1500000US040130304011,040130304011,"Block Group 1, Census Tract 304.01, Maricopa County, Arizona",79563500,29284441
1500000US040130304012,040130304012,"Block Group 2, Census Tract 304.01, Maricopa County, Arizona",89648400,50261389
1500000US040130304013,040130304013,"Block Group 3, Census Tract 304.01, Maricopa County, Arizona",70976600,21997643
1500000US040130304021,040130304021,"Block Group 1, Census Tract 304.02, Maricopa County, Arizona",19778200,12782397
1500000US040130304022,040130304022,"Block Group 2, Census Tract 304.02, Maricopa County, Arizona",68534500,21623266
1500000US040130304023,040130304023,"Block Group 3, Census Tract 304.02, Maricopa County, Arizona",96465900,32927745
1500000US040130405021,040130405021,"Block Group 1, Census Tract 405.02, Maricopa County, Arizona",14028400,11821492
1500000US040130405022,040130405022,"Block Group 2, Census Tract 405.02, Maricopa County, Arizona",14485700,6286779
1500000US040130405023,040130405023,"Block Group 3, Census Tract 405.02, Maricopa County, Arizona",53129500,10744211
1500000US040130405024,040130405024,"Block Group 4, Census Tract 405.02, Maricopa County, Arizona",34897700,12488687
1500000US040130405061,040130405061,"Block Group 1, Census Tract 405.06, Maricopa County, Arizona",64765300,13623473
1500000US040130405062,040130405062,"Block Group 2, Census Tract 405.06, Maricopa County, Arizona",33955000,6524425
1500000US040130405063,040130405063,"Block Group 3, Census Tract 405.06, Maricopa County, Arizona",35587800,11506726
1500000US040130405064,040130405064,"Block Group 4, Census Tract 405.06, Maricopa County, Arizona",37251000,10248218
1500000US040130405071,040130405071,"Block Group 1, Census Tract 405.07, Maricopa County, Arizona",47487700,11027518
1500000US040130405072,040130405072,"Block Group 2, Census Tract 405.07, Maricopa County, Arizona",80263300,10942762
1500000US040130405073,040130405073,"Block Group 3, Census Tract 405.07, Maricopa County, Arizona",20214900,9333319
1500000US040130405074,040130405074,"Block Group 4, Census Tract 405.07, Maricopa County, Arizona",25526300,10360178
1500000US040130405075,040130405075,"Block Group 5, Census Tract 405.07, Maricopa County, Arizona",30508800,12084785
1500000US040130405121,040130405121,"Block Group 1, Census Tract 405.12, Maricopa County, Arizona",55295000,7674701
1500000US040130405131,040130405131,"Block Group 1, Census Tract 405.13, Maricopa County, Arizona",47988400,12965695
1500000US040130405132,040130405132,"Block Group 2, Census Tract 405.13, Maricopa County, Arizona",70313200,11965996
1500000US040130405141,040130405141,"Block Group 1, Census Tract 405.14, Maricopa County, Arizona",47106200,8556183
1500000US040130405142,040130405142,"Block Group 2, Census Tract 405.14, Maricopa County, Arizona",47807500,9567215
1500000US040130405151,040130405151,"Block Group 1, Census Tract 405.15, Maricopa County, Arizona",57411800,15659147
1500000US040130405152,040130405152,"Block Group 2, Census Tract 405.15, Maricopa County, Arizona",55690200,13098129
1500000US040130405161,040130405161,"Block Group 1, Census Tract 405.16, Maricopa County, Arizona",12458400,6650710
1500000US040130405162,040130405162,"Block Group 2, Census Tract 405.16, Maricopa County, Arizona",92126000,19296929
1500000US040130405171,040130405171,"Block Group 1, Census Tract 405.17, Maricopa County, Arizona",51898800,13006037
1500000US040130405172,040130405172,"Block Group 2, Census Tract 405.17, Maricopa County, Arizona",63194800,14799266
1500000US040130405181,040130405181,"Block Group 1, Census Tract 405.18, Maricopa County, Arizona",30779400,8155822
1500000US040130405182,040130405182,"Block Group 2, Census Tract 405.18, Maricopa County, Arizona",36535200,8433414
1500000US040130405183,040130405183,"Block Group 3, Census Tract 405.18, Maricopa County, Arizona",32261000,13626140
1500000US040130405184,040130405184,"Block Group 4, Census Tract 405.18, Maricopa County, Arizona",32476500,8539824
1500000US040130405185,040130405185,"Block Group 5, Census Tract 405.18, Maricopa County, Arizona",14790100,5823251
1500000US040130405191,040130405191,"Block Group 1, Census Tract 405.19, Maricopa County, Arizona",72580100,16966975
1500000US040130405192,040130405192,"Block Group 2, Census Tract 405.19, Maricopa County, Arizona",41815300,17040858
1500000US040130405193,040130405193,"Block Group 3, Census Tract 405.19, Maricopa County, Arizona",49261700,13592981
1500000US040130405201,040130405201,"Block Group 1, Census Tract 405.20, Maricopa County, Arizona",62422700,20095132
1500000US040130405202,040130405202,"Block Group 2, Census Tract 405.20, Maricopa County, Arizona",79033200,26623427
1500000US040130405211,040130405211,"Block Group 1, Census Tract 405.21, Maricopa County, Arizona",131068800,17622775
1500000US040130405221,040130405221,"Block Group 1, Census Tract 405.22, Maricopa County, Arizona",46890500,9162262
1500000US040130405222,040130405222,"Block Group 2, Census Tract 405.22, Maricopa County, Arizona",43936700,11915912
1500000US040130405223,040130405223,"Block Group 3, Census Tract 405.22, Maricopa County, Arizona",58856100,13050399
1500000US040130405231,040130405231,"Block Group 1, Census Tract 405.23, Maricopa County, Arizona",139431600,18530016
1500000US040130405241,040130405241,"Block Group 1, Census Tract 405.24, Maricopa County, Arizona",31405200,7501813
1500000US040130405242,040130405242,"Block Group 2, Census Tract 405.24, Maricopa County, Arizona",30491200,12174084
1500000US040130405251,040130405251,"Block Group 1, Census Tract 405.25, Maricopa County, Arizona",20786600,10221670
1500000US040130405252,040130405252,"Block Group 2, Census Tract 405.25, Maricopa County, Arizona",21227500,7207309
1500000US040130405253,040130405253,"Block Group 3, Census Tract 405.25, Maricopa County, Arizona",20781300,10217977
1500000US040130405254,040130405254,"Block Group 4, Census Tract 405.25, Maricopa County, Arizona",18072200,5637608
1500000US040130405255,040130405255,"Block Group 5, Census Tract 405.25, Maricopa County, Arizona",31199200,20807775
1500000US040130405256,040130405256,"Block Group 6, Census Tract 405.25, Maricopa County, Arizona",12273700,4015428
1500000US040130405261,040130405261,"Block Group 1, Census Tract 405.26, Maricopa County, Arizona",39870300,8554311
1500000US040130405262,040130405262,"Block Group 2, Census Tract 405.26, Maricopa County, Arizona",15440400,3902474
1500000US040130405263,040130405263,"Block Group 3, Census Tract 405.26, Maricopa County, Arizona",27305000,7243456
1500000US040130405271,040130405271,"Block Group 1, Census Tract 405.27, Maricopa County, Arizona",17137200,5782909
1500000US040130405272,040130405272,"Block Group 2, Census Tract 405.27, Maricopa County, Arizona",26281200,8232126
1500000US040130405273,040130405273,"Block Group 3, Census Tract 405.27, Maricopa County, Arizona",57179400,18052236
1500000US040130405281,040130405281,"Block Group 1, Census Tract 405.28, Maricopa County, Arizona",39787900,9731309
1500000US040130405282,040130405282,"Block Group 2, Census Tract 405.28, Maricopa County, Arizona",30390500,8662701
1500000US040130405283,040130405283,"Block Group 3, Census Tract 405.28, Maricopa County, Arizona",24190400,5947044
1500000US040130405284,040130405284,"Block Group 4, Census Tract 405.28, Maricopa County, Arizona",27177400,5514090
1500000US040130405285,040130405285,"Block Group 5, Census Tract 405.28, Maricopa County, Arizona",40707400,9014038
1500000US040130405286,040130405286,"Block Group 6, Census Tract 405.28, Maricopa County, Arizona",52351200,11011012
1500000US040130405291,040130405291,"Block Group 1, Census Tract 405.29, Maricopa County, Arizona",31096300,7064474
1500000US040130405292,040130405292,"Block Group 2, Census Tract 405.29, Maricopa County, Arizona",26943600,5447343
